,Coût,Nom,Quantité,Taux de victoire,Nombre de parties,Date
0,0,Undying Allies,2,58.43,2164,3/31/2023 10:59 
1,1,Animate Dead,2,58.43,2164,3/31/2023 10:59 
2,1,Mind Sear,2,58.43,2164,3/31/2023 10:59 
3,1,Shadowcloth Needle,2,58.43,2164,3/31/2023 10:59 
4,1,Voidtouched Attendant,2,58.43,2164,3/31/2023 10:59 
5,1,Whispers of the Deep,2,58.43,2164,3/31/2023 10:59 
6,2,Astalor Bloodsworn,1,58.43,2164,3/31/2023 10:59 
7,2,Incorporeal Corporal,2,58.43,2164,3/31/2023 10:59 
8,2,Mind Eater,2,58.43,2164,3/31/2023 10:59 
9,3,Cathedral of Atonement,2,58.43,2164,3/31/2023 10:59 
10,3,Haunting Nightmare,2,58.43,2164,3/31/2023 10:59 
11,3,Shadowed Spirit,2,58.43,2164,3/31/2023 10:59 
12,4,Grave Digging,2,58.43,2164,3/31/2023 10:59 
13,4,High Cultist Basaleph,1,58.43,2164,3/31/2023 10:59 
14,4,Najak Hexxen,1,58.43,2164,3/31/2023 10:59 
15,5,Darkbishop Benedictus,1,58.43,2164,3/31/2023 10:59 
16,5,Shadow Word: Undeath,2,58.43,2164,3/31/2023 10:59 
17,1,Fury (Rank 1),2,58.09,501,3/31/2023 10:59 
18,1,Relic of Extinction,2,58.09,501,3/31/2023 10:59 
19,1,Sigil of Alacrity,2,58.09,501,3/31/2023 10:59 
20,1,Unleash Fel,2,58.09,501,3/31/2023 10:59 
21,2,Chaos Strike,2,58.09,501,3/31/2023 10:59 
22,2,Fel Barrage,2,58.09,501,3/31/2023 10:59 
23,2,Mark of Scorn,2,58.09,501,3/31/2023 10:59 
24,2,Relic Vault,2,58.09,501,3/31/2023 10:59 
25,3,Aldrachi Warblades,1,58.09,501,3/31/2023 10:59 
26,3,Relic of Phantasms,2,58.09,501,3/31/2023 10:59 
27,3,Silvermoon Arcanist,1,58.09,501,3/31/2023 10:59 
28,4,Fel'dorei Warband,2,58.09,501,3/31/2023 10:59 
29,4,Souleater's Scythe,1,58.09,501,3/31/2023 10:59 
30,5,Deal with a Devil,2,58.09,501,3/31/2023 10:59 
31,6,"Kurtrus, Demon-Render",1,58.09,501,3/31/2023 10:59 
32,6,Relic of Dimensions,2,58.09,501,3/31/2023 10:59 
33,8,Artificer Xy'mox,1,58.09,501,3/31/2023 10:59 
34,8,Jace Darkweaver,1,58.09,501,3/31/2023 10:59 
35,0,Horn of Winter,2,57.65,2183,3/31/2023 10:59 
36,1,Arms Dealer,2,57.65,2183,3/31/2023 10:59 
37,1,Body Bagger,2,57.65,2183,3/31/2023 10:59 
38,1,Bone Breaker,2,57.65,2183,3/31/2023 10:59 
39,1,Foul Egg,2,57.65,2183,3/31/2023 10:59 
40,1,Skeletal Sidekick,2,57.65,2183,3/31/2023 10:59 
41,2,Frost Strike,2,57.65,2183,3/31/2023 10:59 
42,2,Harbinger of Winter,2,57.65,2183,3/31/2023 10:59 
43,3,Acolyte of Death,2,57.65,2183,3/31/2023 10:59 
44,3,Construct Quarter,2,57.65,2183,3/31/2023 10:59 
45,3,Nerubian Vizier,2,57.65,2183,3/31/2023 10:59 
46,4,School Teacher,2,57.65,2183,3/31/2023 10:59 
47,4,Thassarian,1,57.65,2183,3/31/2023 10:59 
48,6,Marrow Manipulator,2,57.65,2183,3/31/2023 10:59 
49,6,Overseer Frigidara,1,57.65,2183,3/31/2023 10:59 
50,7,Frostwyrm's Fury,2,57.65,2183,3/31/2023 10:59 
51,1,Arms Dealer,2,57.63,405,3/31/2023 10:59 
52,1,Body Bagger,2,57.63,405,3/31/2023 10:59 
53,1,Foul Egg,2,57.63,405,3/31/2023 10:59 
54,1,Irondeep Trogg,1,57.63,405,3/31/2023 10:59 
55,1,Skeletal Sidekick,2,57.63,405,3/31/2023 10:59 
56,2,Amalgam of the Deep,2,57.63,405,3/31/2023 10:59 
57,2,Battlefield Necromancer,2,57.63,405,3/31/2023 10:59 
58,2,Plague Strike,2,57.63,405,3/31/2023 10:59 
59,3,Blightfang,1,57.63,405,3/31/2023 10:59 
60,3,Construct Quarter,1,57.63,405,3/31/2023 10:59 
61,3,Hawkstrider Rancher,2,57.63,405,3/31/2023 10:59 
62,3,Nerubian Vizier,2,57.63,405,3/31/2023 10:59 
63,4,Grave Strength,2,57.63,405,3/31/2023 10:59 
64,4,Nerubian Swarmguard,2,57.63,405,3/31/2023 10:59 
65,4,School Teacher,2,57.63,405,3/31/2023 10:59 
66,5,Famished Fool,1,57.63,405,3/31/2023 10:59 
67,6,"Sylvanas, the Accused",1,57.63,405,3/31/2023 10:59 
68,8,Lord Marrowgar,1,57.63,405,3/31/2023 10:59 
69,0,Horn of Winter,2,57.5,537,3/31/2023 10:59 
70,1,Arms Dealer,2,57.5,537,3/31/2023 10:59 
71,1,Bone Breaker,2,57.5,537,3/31/2023 10:59 
72,1,Foul Egg,2,57.5,537,3/31/2023 10:59 
73,1,Skeletal Sidekick,2,57.5,537,3/31/2023 10:59 
74,2,Frost Strike,2,57.5,537,3/31/2023 10:59 
75,2,Harbinger of Winter,2,57.5,537,3/31/2023 10:59 
76,3,Chillfallen Baron,2,57.5,537,3/31/2023 10:59 
77,3,Construct Quarter,2,57.5,537,3/31/2023 10:59 
78,3,Nerubian Vizier,2,57.5,537,3/31/2023 10:59 
79,4,Might of Menethil,2,57.5,537,3/31/2023 10:59 
80,4,School Teacher,2,57.5,537,3/31/2023 10:59 
81,4,Thassarian,1,57.5,537,3/31/2023 10:59 
82,6,Marrow Manipulator,2,57.5,537,3/31/2023 10:59 
83,6,Overseer Frigidara,1,57.5,537,3/31/2023 10:59 
84,7,Frostwyrm's Fury,2,57.5,537,3/31/2023 10:59 
85,0,Horn of Winter,2,57.39,1116,3/31/2023 10:59 
86,1,Arms Dealer,2,57.39,1116,3/31/2023 10:59 
87,1,Bone Breaker,2,57.39,1116,3/31/2023 10:59 
88,1,Foul Egg,2,57.39,1116,3/31/2023 10:59 
89,1,Skeletal Sidekick,2,57.39,1116,3/31/2023 10:59 
90,2,Frost Strike,2,57.39,1116,3/31/2023 10:59 
91,2,Harbinger of Winter,2,57.39,1116,3/31/2023 10:59 
92,3,Brann Bronzebeard,1,57.39,1116,3/31/2023 10:59 
93,3,Chillfallen Baron,2,57.39,1116,3/31/2023 10:59 
94,3,Construct Quarter,2,57.39,1116,3/31/2023 10:59 
95,3,Nerubian Vizier,2,57.39,1116,3/31/2023 10:59 
96,4,Might of Menethil,1,57.39,1116,3/31/2023 10:59 
97,4,School Teacher,2,57.39,1116,3/31/2023 10:59 
